Subject,w_d.Old.Old,w_d.Old.New,w_d.New.Lure,w_d.Old.Lure,w_d.New.New,w_d.New.Old,w_Rcg,w_Dsc,w_LDI,w_Old.Old,w_Old.New,w_New.Lure,w_Old.Lure,w_New.New,w_New.Old,s_d.Old.Old,s_d.Old.New,s_d.New.Lure,s_d.Old.Lure,s_d.New.New,s_d.New.Old,s_Rcg,s_Dsc,s_LDI,s_Old.Old,s_Old.New,s_New.Lure,s_Old.Lure,s_New.New,s_New.Old,similarity
1,3.09023,-0.706302563,-0.253347103,0.253347103,0.706302563,-3.09023,3.796532563,2.836882897,0.4,1,0.24,0.4,0.6,0.76,0,0.934589291,-1.15034938,0.104633456,-0.104633456,1.15034938,-0.934589291,2.084938671,1.039222747,0.366666667,0.825,0.125,0.541666667,0.458333333,0.875,0.175,2.916666667
2,0.358458793,-1.750686071,1.40507156,-1.40507156,1.750686071,-0.358458793,2.109144865,1.763530353,0.56,0.64,0.04,0.92,0.08,0.96,0.36,0.841621234,-1.675939723,0.318639364,-0.318639364,1.675939723,-0.841621234,2.517560956,1.160260598,0.425,0.8,0.046875,0.625,0.375,0.953125,0.2,2.833333333
3,1.40507156,-0.706302563,-0.582841507,0.582841507,0.706302563,-1.40507156,2.111374123,0.822230053,0.2,0.92,0.24,0.28,0.72,0.76,0.08,1.959963985,-1.229858759,-0.210428394,0.210428394,1.229858759,-1.959963985,3.189822744,1.74953559,0.391666667,0.975,0.109375,0.416666667,0.583333333,0.890625,0.025,2.916666667
5,1.40507156,-1.750686071,0.841621234,-0.841621234,1.750686071,-1.40507156,3.155757632,2.246692794,0.72,0.92,0.04,0.8,0.2,0.96,0.08,1.036433389,-1.417797138,0,0,1.417797138,-1.036433389,2.454230527,1.036433389,0.35,0.85,0.078125,0.5,0.5,0.921875,0.15,2.666666667
7,2.053748911,-1.174986792,-0.253347103,0.253347103,1.174986792,-2.053748911,3.228735703,1.800401807,0.38,0.98,0.12,0.4,0.6,0.88,0.02,1.15034938,-2.153874694,0.104633456,-0.104633456,2.153874694,-1.15034938,3.304224074,1.254982836,0.416666667,0.875,0.015625,0.541666667,0.458333333,0.984375,0.125,2.708333333
4,0,-1.40507156,0.253347103,-0.253347103,1.40507156,0,1.40507156,0.253347103,0.1,0.5,0.08,0.6,0.4,0.92,0.5,1.036433389,-0.887146559,-0.548522283,0.548522283,0.887146559,-1.036433389,1.923579949,0.487911107,0.141666667,0.85,0.1875,0.291666667,0.708333333,0.8125,0.15,2.75
6,0.915365088,-3.09023,-0.253347103,0.253347103,3.09023,-0.915365088,4.005595088,0.662017985,0.22,0.82,0,0.4,0.6,1,0.18,1.644853627,-1.229858759,-0.812217801,0.812217801,1.229858759,-1.644853627,2.874712386,0.832635825,0.158333333,0.95,0.109375,0.208333333,0.791666667,0.890625,0.05,2.583333333
8,1.080319341,-3.09023,0.706302563,-0.706302563,3.09023,-1.080319341,4.170549341,1.786621904,0.62,0.86,0,0.76,0.24,1,0.14,1.644853627,-1.862731867,-0.210428394,0.210428394,1.862731867,-1.644853627,3.507585494,1.434425233,0.366666667,0.95,0.03125,0.416666667,0.583333333,0.96875,0.05,3.041666667
0,0.582841507,0.150969215,-0.358458793,0.358458793,-0.150969215,-0.582841507,0.431872292,0.224382714,0.08,0.72,0.56,0.36,0.64,0.44,0.28,1.036433389,0.078412413,-0.67448975,0.67448975,-0.078412413,-1.036433389,0.958020977,0.361943639,0.1,0.85,0.53125,0.25,0.75,0.46875,0.15,3.25
9,1.281551566,-0.841621234,-0.253347103,0.253347103,0.841621234,-1.281551566,2.123172799,1.028204462,0.3,0.9,0.2,0.4,0.6,0.8,0.1,1.036433389,-1.862731867,-0.104633456,0.104633456,1.862731867,-1.036433389,2.899165257,0.931799934,0.308333333,0.85,0.03125,0.458333333,0.541666667,0.96875,0.15,2.625
10,0.524400513,-1.40507156,1.40507156,-1.40507156,1.40507156,-0.524400513,1.929472073,1.929472073,0.62,0.7,0.08,0.92,0.08,0.92,0.3,1.281551566,-2.153874694,-0.318639364,0.318639364,2.153874694,-1.281551566,3.43542626,0.962912202,0.275,0.9,0.015625,0.375,0.625,0.984375,0.1,2.791666667
11,2.053748911,-1.174986792,-0.253347103,0.253347103,1.174986792,-2.053748911,3.228735703,1.800401807,0.38,0.98,0.12,0.4,0.6,0.88,0.02,1.959963985,-1.009990169,0.104633456,-0.104633456,1.009990169,-1.959963985,2.969954154,2.06459744,0.516666667,0.975,0.15625,0.541666667,0.458333333,0.84375,0.025,2.791666667
12,1.174986792,-0.358458793,0.150969215,-0.150969215,0.358458793,-1.174986792,1.533445585,1.325956008,0.44,0.88,0.36,0.56,0.44,0.64,0.12,1.15034938,-1.534120544,0.318639364,-0.318639364,1.534120544,-1.15034938,2.684469925,1.468988744,0.5,0.875,0.0625,0.625,0.375,0.9375,0.125,2.666666667
21,0.524400513,-1.750686071,-0.050153583,0.050153583,1.750686071,-0.524400513,2.275086584,0.474246929,0.18,0.7,0.04,0.48,0.52,0.96,0.3,0.841621234,-2.153874694,0,0,2.153874694,-0.841621234,2.995495928,0.841621234,0.3,0.8,0.015625,0.5,0.5,0.984375,0.2,
22,0.706302563,-1.174986792,0.358458793,-0.358458793,1.174986792,-0.706302563,1.881289355,1.064761356,0.4,0.76,0.12,0.64,0.36,0.88,0.24,1.439531471,-1.15034938,-0.548522283,0.548522283,1.15034938,-1.439531471,2.589880851,0.891009188,0.216666667,0.925,0.125,0.291666667,0.708333333,0.875,0.075,
23,1.080319341,-3.09023,0.582841507,-0.582841507,3.09023,-1.080319341,4.170549341,1.663160848,0.58,0.86,0,0.72,0.28,1,0.14,0.125661347,-3.09023,0.430727299,-0.430727299,3.09023,-0.125661347,3.215891347,0.556388646,0.216666667,0.55,0,0.666666667,0.333333333,1,0.45,
24,-0.305480788,-3.09023,3.09023,-3.09023,3.09023,0.305480788,2.784749212,2.784749212,0.38,0.38,0,1,0,1,0.62,0.189118426,-2.153874694,0.812217801,-0.812217801,2.153874694,-0.189118426,2.34299312,1.001336228,0.366666667,0.575,0.015625,0.791666667,0.208333333,0.984375,0.425,
25,1.281551566,-0.994457883,0.150969215,-0.150969215,0.994457883,-1.281551566,2.276009449,1.432520781,0.46,0.9,0.16,0.56,0.44,0.84,0.1,0.45376219,-1.862731867,0.430727299,-0.430727299,1.675939723,-0.45376219,2.316494058,0.884489489,0.341666667,0.675,0.03125,0.666666667,0.333333333,0.953125,0.325,
26,0.994457883,-0.706302563,-0.150969215,0.150969215,0.706302563,-0.994457883,1.700760446,0.843488668,0.28,0.84,0.24,0.44,0.56,0.76,0.16,0.755415026,-1.675939723,1.15034938,-1.15034938,1.675939723,-0.755415026,2.431354749,1.905764407,0.65,0.775,0.046875,0.875,0.125,0.953125,0.225,
27,1.281551566,-0.706302563,-0.150969215,0.150969215,0.706302563,-1.281551566,1.987854128,1.13058235,0.34,0.9,0.24,0.44,0.56,0.76,0.1,1.15034938,-1.534120544,0,0,1.534120544,-1.15034938,2.684469924,1.15034938,0.375,0.875,0.0625,0.5,0.5,0.9375,0.125,
28,1.080319341,-0.706302563,-0.467698799,0.467698799,0.706302563,-1.080319341,1.786621904,0.612620542,0.18,0.86,0.24,0.32,0.68,0.76,0.14,1.15034938,-1.862731867,0.104633456,-0.104633456,1.862731867,-1.15034938,3.013081247,1.254982836,0.416666667,0.875,0.03125,0.541666667,0.458333333,0.96875,0.125,
29,0.358458793,-1.750686071,1.40507156,-1.40507156,1.750686071,-0.358458793,2.109144865,1.763530354,0.56,0.64,0.04,0.92,0.08,0.96,0.36,1.281551566,-2.153874694,0.548522283,-0.548522283,2.153874694,-1.281551566,3.43542626,1.830073849,0.608333333,0.9,0.015625,0.708333333,0.291666667,0.984375,0.1,
30,-0.050153583,-1.750686071,0.841621234,-0.841621234,1.750686071,0.050153583,1.700532488,0.79146765,0.28,0.48,0.04,0.8,0.2,0.96,0.52,1.036433389,-0.724514383,0.104633456,-0.104633456,0.724514383,-1.036433389,1.760947773,1.141066845,0.391666667,0.85,0.234375,0.541666667,0.458333333,0.765625,0.15,
31,0.412463129,-1.40507156,0.150969215,-0.150969215,1.40507156,-0.412463129,1.81753469,0.563432345,0.22,0.66,0.08,0.56,0.44,0.92,0.34,1.281551566,-3.09023,0.210428394,-0.210428394,3.09023,-1.281551566,4.371781566,1.49197996,0.483333333,0.9,0,0.583333333,0.416666667,1,0.1,
