Subject,SoundMST/Writing_C.wav,SoundMST/CarStart_D.wav,SoundMST/Trumpet_C.wav,SoundMST/Piano_C.wav,SoundMST/Elephant_A.wav,SoundMST/Duck_A.wav,SoundMST/Phone_E.wav,SoundMST/Snore_E.wav,SoundMST/Chime_A.wav,SoundMST/Faucet_C.wav,SoundMST/Baby_B.wav,SoundMST/Bird_A.wav,SoundMST/Cough_J.wav,SoundMST/Dog_I.wav,SoundMST/Laugh_D.wav,SoundMST/Pour_C.wav,SoundMST/Footsteps_F.wav,SoundMST/Clap_D.wav,SoundMST/Whistle_C.wav,SoundMST/Siren_A.wav,SoundMST/Chomp_C.wav,SoundMST/ManWhistle_E.wav,SoundMST/Coin_E.wav,SoundMST/Bubbles_B.wav
1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
2,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
3,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
5,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1
6,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0
8,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0
9,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0
10,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
12,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
